Created,Product_ID,Source,Sales_Agent,Delivery_Mode,Status,output
10-11-2018 22:34,20,Website,Sales-Agent-10,Mode-5,Open,1
10-11-2018 21:41,20,Website,Sales-Agent-10,Mode-5,Open,1
10-11-2018 20:40,20,Website,Sales-Agent-10,Mode-5,Open,1
10-11-2018 20:27,20,Website,Sales-Agent-10,Mode-5,Open,1
10-11-2018 20:25,20,Website,Sales-Agent-10,Mode-5,Open,1
10-11-2018 20:20,20,Website,Sales-Agent-10,Mode-5,Open,1
10-11-2018 20:19,20,Website,Sales-Agent-10,Mode-5,Open,1
10-11-2018 20:17,20,Website,Sales-Agent-10,Mode-5,Open,1
10-11-2018 19:39,20,Website,Sales-Agent-10,Mode-5,Open,1
10-11-2018 19:13,20,Website,Sales-Agent-10,Mode-5,Open,1
10-11-2018 18:00,20,Live Chat-Direct,Sales-Agent-10,Mode-5,Open,1
10-11-2018 17:55,20,Live Chat-Direct,Sales-Agent-3,Mode-3,Not Responding,0
10-11-2018 16:40,18,Live Chat-Direct,Sales-Agent-9,Mode-3,Potential,1
10-11-2018 16:30,18,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
10-11-2018 15:10,18,Live Chat -PPC,Sales-Agent-11,Mode-1,Potential,1
10-11-2018 15:05,19,Live Chat-Adwords Remarketing,Sales-Agent-4,Mode-1,In Progress Positive,1
10-11-2018 14:17,27,Live Chat-Direct,Sales-Agent-9,Mode-3,Not Responding,0
10-11-2018 13:47,15,Website,Sales-Agent-3,Mode-3,Not Responding,0
10-11-2018 13:26,18,Call,Sales-Agent-11,Mode-3,Not Responding,0
10-11-2018 13:16,27,Website,Sales-Agent-7,Mode-3,In Progress Positive,1
10-11-2018 12:57,18,Call,Sales-Agent-3,Mode-1,Just Enquiry,0
10-11-2018 12:18,18,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
10-11-2018 12:06,18,Call,Sales-Agent-3,Mode-1,Potential,1
10-11-2018 11:40,5,Live Chat-Direct,Sales-Agent-3,Mode-1,Not Responding,0
10-11-2018 11:20,15,Website,Sales-Agent-7,Mode-1,Not Responding,0
10-11-2018 11:13,15,Call,Sales-Agent-11,Mode-5,Junk Lead,0
10-11-2018 11:11,15,Call,Sales-Agent-4,Mode-5,In Progress Negative,0
10-11-2018 11:10,15,Call,Sales-Agent-9,Mode-5,Just Enquiry,0
10-11-2018 11:10,15,Call,Sales-Agent-7,Mode-5,Just Enquiry,0
10-11-2018 10:52,18,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
10-11-2018 10:48,15,Call,Sales-Agent-3,Mode-5,Not Responding,0
10-11-2018 00:11,15,Website,Sales-Agent-7,Mode-5,In Progress Positive,1
09-11-2018 22:15,18,Live Chat-Direct,Sales-Agent-9,Mode-1,CONVERTED,1
09-11-2018 18:37,11,Call,Sales-Agent-7,Mode-5,In Progress Positive,1
09-11-2018 18:17,19,Live Chat-Direct,Sales-Agent-9,Mode-4,In Progress Positive,1
09-11-2018 18:00,27,Live Chat-Direct,Sales-Agent-3,Mode-1,Not Responding,0
09-11-2018 16:30,19,Live Chat-Direct,Sales-Agent-3,Mode-1,Potential,1
09-11-2018 16:25,18,Live Chat-Direct,Sales-Agent-9,Mode-3,In Progress Positive,1
09-11-2018 15:17,18,Call,Sales-Agent-11,Mode-5,Potential,1
09-11-2018 14:53,18,Website,Sales-Agent-9,Mode-1,In Progress Positive,1
09-11-2018 14:45,19,Website,Sales-Agent-3,Mode-1,Junk Lead,0
09-11-2018 14:39,18,Live Chat -PPC,Sales-Agent-11,Mode-1,Potential,1
09-11-2018 14:33,15,Call,Sales-Agent-9,Mode-5,Just Enquiry,0
09-11-2018 14:24,19,Call,Sales-Agent-9,Mode-5,Potential,1
09-11-2018 14:17,15,Call,Sales-Agent-3,Mode-5,Not Responding,0
09-11-2018 14:15,15,Call,Sales-Agent-4,Mode-5,Junk Lead,0
09-11-2018 14:14,15,Call,Sales-Agent-7,Mode-5,Junk Lead,0
09-11-2018 13:35,19,Website,Sales-Agent-7,Mode-1,Junk Lead,0
09-11-2018 13:25,18,Live Chat-Direct,Sales-Agent-4,Mode-1,Not Responding,0
09-11-2018 13:04,25,Customer Referral,Sales-Agent-9,Mode-1,Potential,1
09-11-2018 13:01,19,E-Mail Message,Sales-Agent-3,Mode-1,Potential,1
09-11-2018 12:50,9,Live Chat-Direct,Sales-Agent-9,Mode-1,In Progress Positive,1
09-11-2018 12:44,9,Live Chat-Direct,Sales-Agent-4,Mode-3,Just Enquiry,0
09-11-2018 12:42,19,Call,Sales-Agent-9,Mode-1,Potential,1
09-11-2018 12:20,18,Live Chat -PPC,Sales-Agent-11,Mode-5,Just Enquiry,0
09-11-2018 12:03,18,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
09-11-2018 11:21,15,Call,Sales-Agent-11,Mode-5,Junk Lead,0
09-11-2018 11:19,27,Call,Sales-Agent-4,Mode-5,In Progress Negative,0
09-11-2018 11:18,15,Call,Sales-Agent-9,Mode-5,Not Responding,0
09-11-2018 11:17,21,Call,Sales-Agent-4,Mode-5,In Progress Positive,1
09-11-2018 11:17,15,Call,Sales-Agent-7,Mode-5,Just Enquiry,0
09-11-2018 11:16,27,Call,Sales-Agent-3,Mode-5,Just Enquiry,0
09-11-2018 11:15,15,Call,Sales-Agent-7,Mode-5,Junk Lead,0
09-11-2018 10:55,9,Call,Sales-Agent-3,Mode-5,Potential,1
09-11-2018 10:53,18,Call,Sales-Agent-9,Mode-5,Potential,1
09-11-2018 10:50,18,Live Chat-Direct,Sales-Agent-11,Mode-3,Just Enquiry,0
09-11-2018 10:49,9,Call,Sales-Agent-3,Mode-1,In Progress Positive,1
09-11-2018 10:40,18,Website,Sales-Agent-7,Mode-1,In Progress Positive,1
09-11-2018 10:34,9,Call,Sales-Agent-4,Mode-5,CONVERTED,1
09-11-2018 10:30,3,Live Chat-Direct,Sales-Agent-7,Mode-4,In Progress Positive,1
09-11-2018 10:13,18,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
09-11-2018 10:11,18,Call,Sales-Agent-9,Mode-1,Potential,1
09-11-2018 10:06,15,Call,Sales-Agent-9,Mode-5,Junk Lead,0
09-11-2018 10:04,18,Call,Sales-Agent-9,Mode-5,Potential,1
09-11-2018 10:04,15,Call,Sales-Agent-7,Mode-5,Not Responding,0
09-11-2018 10:03,15,Call,Sales-Agent-11,Mode-5,Not Responding,0
09-11-2018 09:55,15,Website,Sales-Agent-9,Mode-5,In Progress Positive,1
09-11-2018 09:05,18,Live Chat-Direct,Sales-Agent-7,Mode-3,In Progress Positive,1
09-11-2018 06:59,5,Website,Sales-Agent-3,Mode-1,Not Responding,0
08-11-2018 20:32,15,Website,Sales-Agent-11,Mode-1,Junk Lead,0
08-11-2018 20:11,18,Website,Sales-Agent-7,Mode-1,CONVERTED,1
08-11-2018 19:45,18,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
08-11-2018 19:43,18,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
08-11-2018 15:37,18,Website,Sales-Agent-7,Mode-3,Junk Lead,0
08-11-2018 14:51,19,Website,Sales-Agent-4,Mode-1,Just Enquiry,0
08-11-2018 14:46,15,Website,Sales-Agent-3,Mode-1,Not Responding,0
08-11-2018 13:27,18,Website,Sales-Agent-11,Mode-5,Potential,1
08-11-2018 13:19,19,Website,Sales-Agent-11,Mode-1,Just Enquiry,0
08-11-2018 13:15,18,Website,Sales-Agent-4,Mode-1,In Progress Positive,1
08-11-2018 13:08,19,Website,Sales-Agent-3,Mode-3,Junk Lead,0
08-11-2018 12:32,18,Website,Sales-Agent-4,Mode-1,In Progress Positive,1
08-11-2018 12:25,9,Website,Sales-Agent-9,Mode-1,In Progress Positive,1
08-11-2018 10:07,18,Website,Sales-Agent-7,Mode-1,CONVERTED,1
08-11-2018 10:00,18,Website,Sales-Agent-9,Mode-1,Just Enquiry,0
08-11-2018 09:51,18,Website,Sales-Agent-7,Mode-5,Just Enquiry,0
07-11-2018 22:26,19,Website,Sales-Agent-4,Mode-3,In Progress Positive,1
07-11-2018 15:59,2,Website,Sales-Agent-7,Mode-3,In Progress Positive,1
07-11-2018 14:25,5,Call,Sales-Agent-3,Mode-1,Just Enquiry,0
07-11-2018 14:22,18,Live Chat-Direct,Sales-Agent-7,Mode-1,In Progress Positive,1
07-11-2018 12:38,15,Call,Sales-Agent-7,Mode-5,Junk Lead,0
07-11-2018 12:37,19,Call,Sales-Agent-3,Mode-5,In Progress Negative,0
07-11-2018 12:36,15,Call,Sales-Agent-7,Mode-5,Junk Lead,0
07-11-2018 12:36,15,Call,Sales-Agent-3,Mode-5,Junk Lead,0
07-11-2018 12:31,18,Live Chat-Direct,Sales-Agent-7,Mode-1,Just Enquiry,0
07-11-2018 12:28,18,Live Chat -PPC,Sales-Agent-3,Mode-1,Just Enquiry,0
07-11-2018 12:27,20,Live Chat-Direct,Sales-Agent-7,Mode-5,In Progress Positive,1
07-11-2018 12:25,5,Live Chat-Direct,Sales-Agent-3,Mode-1,Just Enquiry,0
07-11-2018 12:22,18,Live Chat-Direct,Sales-Agent-7,Mode-1,In Progress Positive,1
07-11-2018 12:15,18,Live Chat-Direct,Sales-Agent-3,Mode-1,CONVERTED,1
07-11-2018 12:14,5,Live Chat -PPC,Sales-Agent-7,Mode-3,Just Enquiry,0
07-11-2018 12:14,20,Existing Client,Sales-Agent-3,Mode-1,CONVERTED,1
07-11-2018 11:41,18,Live Chat-Blog,Sales-Agent-3,Mode-1,In Progress Negative,0
07-11-2018 11:40,18,Live Chat-Blog,Sales-Agent-7,Mode-1,In Progress Positive,1
07-11-2018 11:38,5,Live Chat-Direct,Sales-Agent-7,Mode-1,In Progress Positive,1
07-11-2018 11:38,18,Live Chat-Direct,Sales-Agent-3,Mode-3,Junk Lead,0
07-11-2018 11:35,15,Live Chat-Direct,Sales-Agent-3,Mode-3,Not Responding,0
07-11-2018 11:34,19,Live Chat-Direct,Sales-Agent-7,Mode-3,Just Enquiry,0
07-11-2018 11:04,19,Live Chat-Direct,Sales-Agent-3,Mode-1,Potential,1
07-11-2018 10:50,15,Call,Sales-Agent-3,Mode-5,In Progress Negative,0
07-11-2018 10:50,15,Call,Sales-Agent-3,Mode-5,Just Enquiry,0
07-11-2018 10:49,15,Call,Sales-Agent-3,Mode-5,Not Responding,0
07-11-2018 10:48,15,Call,Sales-Agent-3,Mode-5,Not Responding,0
07-11-2018 10:28,19,Live Chat-Direct,Sales-Agent-7,Mode-1,In Progress Positive,1
07-11-2018 10:27,9,Call,Sales-Agent-7,Mode-1,In Progress Positive,1
07-11-2018 05:23,27,Website,Sales-Agent-7,Mode-3,Potential,1
07-11-2018 02:07,9,Website,Sales-Agent-7,Mode-3,Just Enquiry,0
06-11-2018 19:40,19,Website,Sales-Agent-3,Mode-1,In Progress Positive,1
06-11-2018 19:16,18,Website,Sales-Agent-3,Mode-1,Not Responding,0
06-11-2018 18:36,27,Website,Sales-Agent-7,Mode-1,In Progress Positive,1
06-11-2018 08:52,18,Website,Sales-Agent-7,Mode-1,In Progress Positive,1
06-11-2018 08:11,27,Website,Sales-Agent-7,Mode-1,In Progress Positive,1
06-11-2018 05:27,19,Website,Sales-Agent-7,Mode-3,In Progress Positive,1
06-11-2018 04:04,5,Website,Sales-Agent-3,Mode-3,Not Responding,0
06-11-2018 00:46,18,Website,Sales-Agent-7,Mode-3,Just Enquiry,0
05-11-2018 23:32,18,By Recommendation,Sales-Agent-9,Mode-1,Potential,1
05-11-2018 20:14,5,Website,Sales-Agent-7,Mode-5,Just Enquiry,0
05-11-2018 18:26,25,Live Chat-Direct,Sales-Agent-7,Mode-1,In Progress Positive,1
05-11-2018 17:59,18,Call,Sales-Agent-9,Mode-1,Just Enquiry,0
05-11-2018 17:53,5,Live Chat-Direct,Sales-Agent-7,Mode-3,In Progress Positive,1
05-11-2018 17:11,5,Live Chat-Direct,Sales-Agent-3,Mode-1,Just Enquiry,0
05-11-2018 17:07,19,Live Chat-Direct,Sales-Agent-4,Mode-3,Not Responding,0
05-11-2018 17:04,9,Live Chat-Direct,Sales-Agent-9,Mode-1,In Progress Positive,1
05-11-2018 17:01,19,Live Chat-Direct,Sales-Agent-7,Mode-3,In Progress Positive,1
05-11-2018 17:01,15,Website,Sales-Agent-7,Mode-5,Just Enquiry,0
05-11-2018 16:42,1,Website,Sales-Agent-3,Mode-1,In Progress Negative,0
05-11-2018 15:46,19,Call,Sales-Agent-9,Mode-1,Just Enquiry,0
05-11-2018 15:42,19,Call,Sales-Agent-3,Mode-1,Just Enquiry,0
05-11-2018 15:41,1,Live Chat-Direct,Sales-Agent-9,Mode-3,Not Responding,0
05-11-2018 15:08,15,Call,Sales-Agent-3,Mode-5,Junk Lead,0
05-11-2018 15:06,19,Call,Sales-Agent-4,Mode-5,Just Enquiry,0
05-11-2018 14:59,15,Call,Sales-Agent-7,Mode-5,Junk Lead,0
05-11-2018 14:54,15,Call,Sales-Agent-9,Mode-5,Junk Lead,0
05-11-2018 14:54,15,Call,Sales-Agent-3,Mode-5,Junk Lead,0
05-11-2018 14:52,15,Call,Sales-Agent-4,Mode-5,In Progress Negative,0
05-11-2018 14:52,15,Call,Sales-Agent-3,Mode-5,Junk Lead,0
05-11-2018 14:51,15,Call,Sales-Agent-7,Mode-5,Junk Lead,0
05-11-2018 14:34,10,Website,Sales-Agent-4,Mode-4,In Progress Positive,1
05-11-2018 14:12,19,Call,Sales-Agent-7,Mode-1,In Progress Negative,0
05-11-2018 14:07,12,Website,Sales-Agent-7,Mode-4,In Progress Positive,1
05-11-2018 12:35,19,Live Chat-Direct,Sales-Agent-7,Mode-1,In Progress Positive,1
05-11-2018 12:06,15,Call,Sales-Agent-8,Mode-5,Open,1
05-11-2018 11:45,19,Call,Sales-Agent-9,Mode-1,CONVERTED,1
05-11-2018 11:29,15,Call,Sales-Agent-3,Mode-5,Not Responding,0
05-11-2018 11:29,15,Call,Sales-Agent-7,Mode-5,Not Responding,0
05-11-2018 11:28,15,Call,Sales-Agent-4,Mode-5,Just Enquiry,0
05-11-2018 11:17,18,Call,Sales-Agent-3,Mode-1,Just Enquiry,0
05-11-2018 10:58,19,Live Chat-Direct,Sales-Agent-3,Mode-1,Potential,1
05-11-2018 10:55,18,Live Chat-Direct,Sales-Agent-4,Mode-3,In Progress Positive,1
05-11-2018 10:21,18,Live Chat-Direct,Sales-Agent-4,Mode-3,In Progress Positive,1
05-11-2018 10:20,27,Live Chat-Direct,Sales-Agent-4,Mode-1,Just Enquiry,0
05-11-2018 10:11,19,Website,Sales-Agent-7,Mode-3,In Progress Positive,1
05-11-2018 10:09,5,Call,Sales-Agent-9,Mode-5,Not Responding,0
05-11-2018 09:58,12,Live Chat-Direct,Sales-Agent-7,Mode-4,LOST,0
04-11-2018 21:53,27,Website,Sales-Agent-4,Mode-5,Just Enquiry,0
04-11-2018 16:47,9,Website,Sales-Agent-9,Mode-1,Potential,1
04-11-2018 15:31,9,Call,Sales-Agent-4,Mode-1,Potential,1
04-11-2018 05:13,18,Website,Sales-Agent-9,Mode-1,Not Responding,0
04-11-2018 02:05,27,Website,Sales-Agent-3,Mode-5,Not Responding,0
03-11-2018 20:11,5,Website,Sales-Agent-7,Mode-5,Just Enquiry,0
03-11-2018 18:41,9,Call,Sales-Agent-3,Mode-1,Potential,1
03-11-2018 18:07,15,Call,Sales-Agent-4,Mode-5,Potential,1
03-11-2018 16:58,18,Live Chat-Direct,Sales-Agent-4,Mode-1,Potential,1
03-11-2018 16:00,18,Website,Sales-Agent-4,Mode-5,Just Enquiry,0
03-11-2018 15:23,18,Call,Sales-Agent-4,Mode-1,Potential,1
03-11-2018 14:48,18,Website,Sales-Agent-3,Mode-3,In Progress Negative,0
03-11-2018 13:51,27,Website,Sales-Agent-9,Mode-3,In Progress Positive,1
03-11-2018 13:28,19,Live Chat-Direct,Sales-Agent-11,Mode-3,Potential,1
03-11-2018 13:07,19,Live Chat-Direct,Sales-Agent-9,Mode-1,In Progress Positive,1
03-11-2018 13:04,18,Live Chat-Direct,Sales-Agent-11,Mode-3,Potential,1
03-11-2018 11:43,19,Call,Sales-Agent-3,Mode-5,Junk Lead,0
03-11-2018 11:42,15,Call,Sales-Agent-3,Mode-5,Not Responding,0
03-11-2018 11:40,15,Call,Sales-Agent-7,Mode-5,Junk Lead,0
03-11-2018 10:11,19,Website,Sales-Agent-3,Mode-2,CONVERTED,1
03-11-2018 09:52,9,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
03-11-2018 07:27,19,Website,Sales-Agent-4,Mode-3,Potential,1
03-11-2018 02:05,27,Website,Sales-Agent-9,Mode-1,In Progress Positive,1
02-11-2018 19:21,2,Website,Sales-Agent-7,Mode-3,In Progress Positive,1
02-11-2018 18:52,19,Live Chat-Direct,Sales-Agent-4,Mode-3,Not Responding,0
02-11-2018 17:57,19,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
02-11-2018 15:58,19,Website,Sales-Agent-3,Mode-1,CONVERTED,1
02-11-2018 15:52,18,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
02-11-2018 15:45,5,Live Chat-Direct,Sales-Agent-8,Mode-3,Open,1
02-11-2018 15:40,15,Call,Sales-Agent-11,Mode-5,Junk Lead,0
